regulator,MOS (M-),GLS (M-),GLS (M+),ALS (M-),MOS (M+),ALS (M+)
BHLHE23,0.770942016272278,0.0933118490697335,-0.899857501042667,0.294275967264526,-0.118492964896053,1.50711704510244
TSHZ2,2.6402976309763,2.13503602792968,-3.48215906122191,3.18215463099172,-1.46632830420217,-1.95120314369775
ZNF831,4.6265853267058,-2.07652772789578,-5.53464144257743,2.58099410765664,3.53290482846271,-3.13528467146001
ZNF280A,0.54048610693749,1.03083373202982,-0.94466568611192,1.6122301261935,-0.204702765467722,-0.727202045413167
ZNF513,-1.68888597432847,1.06556717977331,1.65502046687239,-0.248160297511403,-2.45173710682543,1.06686435721827
ZFAND2B,-3.09518025526168,1.28691136420209,2.3867917335798,-0.884649074944693,-0.861760922041846,1.46886305195751
KCNH8,-2.75009406634717,3.14183626697363,1.41312701818815,1.23766376349258,-2.85142851485585,1.85066319907253
ZDHHC19,4.09830681895257,-0.394955697750913,-3.60347516512788,1.09354959870398,3.46948969895354,-3.70865895200298
KLF6,0.843300973582401,2.14139053235963,2.51330522447684,-2.37506424414361,-1.3581762055616,-2.30105294119665
ZFP42,0.297271274074942,0.214833495797401,-1.23326619405187,1.53387217252052,0.366801252386083,0.071929417756587
ZNF474,0.936747391324237,-1.23241161435491,-0.750196104186014,-0.485462833832952,1.30803568636795,0.766287529069045
POU5F2,1.60938328483919,2.55154684676827,-2.06071028005796,3.30191329999385,-1.59725215077225,-1.09986784458644
NOBOX,-0.20980809816395,-0.190572659075025,-0.926267656626821,0.595617801142296,-0.518973558177509,-0.0155639550020898
ZNF786,0.0100378443235516,-0.198760993357491,-0.840426732541755,1.01087457502868,-0.431181323443754,0.551402064096347
KLF14,0.7557062734654,-0.136012022584399,-1.58700156120989,1.15213583287587,-0.183859839548244,0.358279291727682
ZNF572,-0.93766576980829,0.450605752751625,-0.342241353303021,0.768666600974891,-1.09120993710647,0.806326129891262
NKX2-6,1.02333561986092,-0.716235533330535,-1.92124194216306,-0.583347615925295,0.668433280234861,-0.156571211694157
CREB1,0.967857842485871,2.26849198215668,-0.185175259601508,-0.643982822453593,-0.0890391562078324,-1.13312943550281
ATF2,0.27869542568313,-0.532763490219124,1.7840309648492,-2.31011757755259,0.820024867220264,0.166480428131205
CREBBP,1.00448110946809,2.1434535991825,-1.71894610221318,3.01482312990524,-3.26210588474663,-0.861079308176911
ATF6B,-1.55363472572118,1.02843833422686,1.88351122742262,-0.276186313604101,-0.177486038567419,-0.843702217182693
CREBL2,4.97206985302625,-4.69689201307304,-6.3010168722154,0.968326776493162,4.41714976443926,1.5480660393729
CREM,5.14321388983756,-5.6412482517791,-6.53522720930422,-1.31097012741324,5.39133497935817,-2.25099675403141
HDX,0.0433805951696875,-0.331071850885822,-1.63259278527163,0.96075725950945,-0.846566628381348,1.6705591323247
FOXR2,2.1561236485181,-1.32579129689396,-1.60371604815469,0.0528797018654137,2.00925780894791,-1.53044442456917
ZFP92,-0.106629968711452,2.1108889815942,-1.85494942516232,1.52206749808648,-1.05737025286258,-0.970368609114885
ZNF358,-1.30870390073737,0.428213500666505,-0.772921605709799,0.988085322614589,-1.5958413731527,2.2022820562864
CRX,2.48373668085507,1.80970646428164,-1.96403130776998,2.96011686132132,-0.658373735585969,-1.1396449191776
ZFP28,3.31704061091795,-0.760705273515024,-3.73567421046345,1.86847461938801,0.0288967908755192,0.787840617013439
GATA5,-0.430866413999278,-0.429403615009923,-0.646138864721414,0.478236466528678,-0.314463592503928,0.46006372398291
ZBTB46,3.24355517712275,-0.300339750326582,-4.68022782279673,2.79078199796388,0.574314851543154,-0.932971409213564
CTCFL,-0.498650695821085,0.251878089706126,1.24424338537676,-1.64730386700589,0.996921932704404,0.364690402278127
ZSWIM3,-0.770583225801308,0.246457929862511,0.704986095248024,0.252956305841047,-0.259735398958283,0.320383190378162
ZNF280B,3.83245557962215,-3.02158445577599,-4.47393998609394,2.54469053821357,3.08735365352157,0.28471962322542
ZNF664,-3.19817960631627,-1.43918168647706,-0.421939037730688,1.66336793929145,-2.56523520599994,3.93554314071947
E2F7,-2.59461158120868,4.11660488745159,4.48621279918968,-1.34597947722372,-2.72453244038098,-3.63512922865239
GSC,-0.872387482064317,0.94069578977151,-0.68711798637884,-0.226365729900666,-1.09867375986966,0.605186124980181
MESP2,-0.416977410472746,-0.812388362007257,-0.519033608367762,-0.41110600796468,0.671464796985179,0.416866263514435
ZSCAN29,-0.911853987356727,1.74689565838572,1.37086332847117,-0.0291766877996227,-0.233241195633603,-0.242450332032274
ZFP90,2.66403256496754,-1.52335604474102,-3.44842909040256,1.87526430884407,1.14594345657412,1.37586948939132
ZNF597,-0.408534389507941,1.35118683620459,1.54342878743991,-1.53519816884128,0.109155776992777,-1.10140253449099
ZNF785,0.317558441646255,2.33483034212171,-2.03435330596576,3.55618571502218,-1.17603836636126,0.0388405103791259
ZNF688,0.797001469210077,-0.853224780667063,-1.66280756537789,2.82560180512829,-0.408355846015775,0.513829858396138
ZNF480,0.207428850613626,-0.225284851994163,-0.735898291483212,0.795527808645607,-0.43618874131389,1.26402014796941
ZNF534,-2.00150401746603,1.03592131118958,0.778164192714045,0.00926421789368448,-1.37127701451555,-0.23286471945576
ZNF578,1.56755912399107,1.2926083012516,-1.38027322113891,1.22196109232148,-1.45272722164881,-0.638434288672384
ZNF418,1.39106472573522,-1.15037448556977,-3.06540647633116,2.56217406843944,-0.582419586534338,1.82507003810906
ZNF417,0.551674855542519,2.56443168588916,-1.95745873251852,3.34084232150863,-2.15180656740997,-0.851355664462343
ZNF548,2.93027781345751,-0.771979481392465,-2.38548733197822,2.08369715862943,1.33498462840578,0.140592684950448
ZNF560,1.22252384220743,-0.986453243320205,-0.985201726863963,0.986617664439842,2.01934310496345,-1.56023114890088
ZNF524,-2.72771668580238,0.8656616455968,1.27043436600076,1.91164845583576,-1.29715408140642,1.44367654475638
ZNF784,-0.162456182066347,0.344855799580914,-0.177491609698014,2.39634306170123,-0.590921306103264,0.749183217746439
ZNF563,0.789691767018433,-0.539960938664045,-1.92055852919467,1.44492665240735,-1.19823036860561,1.48340223163232
SIX5,-1.13175112220726,-0.235697473991398,-0.359933519040396,0.477074142128392,0.666704889745149,0.131775771353593
ZNF420,2.95772085688633,-1.41228593638048,-2.92356601861636,2.56434504952385,0.091176717349284,1.19177749796302
ZNF565,-1.0795017354045,1.52832090426313,1.76276847238977,0.532117869315432,-0.685022521157962,-0.709214391883111
ZNF582,1.81103395090945,-2.06830423101911,-4.34076818572599,2.75848537646561,0.795631493445355,3.16860079470344
ZNF583,1.93380705719629,-0.963474229479009,-3.60674545953249,2.73325711887166,0.209299506217696,1.25054479456121
ZNF599,1.42848418500512,-0.155186313784506,-1.94655275037015,2.07142015970766,-0.307536386126996,-0.352805509897522
ZNF558,-1.36758680829805,0.696445072092157,-0.527147289083427,1.37531462248872,-1.19655648572082,1.30729669626534
ZNF98,1.30209244051458,-0.845071049388518,-3.76914369499443,3.43312802258832,-0.641138463105236,1.38256965755349
NKX2-5,1.39002349714911,-0.0840338080012034,-0.785479865488644,1.43340535598917,1.12864408391926,-0.418378158669661
ZNF714,0.140785669441637,0.219579160184085,-0.748184458447209,1.0059870232184,-0.408981416954916,1.09994301418213
ZNF681,1.13686036052732,-0.220126179992454,-1.76819378191511,2.50796396735158,-0.756027213196016,0.594566646160339
ZNF555,1.82904080188651,-0.673481463402534,-2.05191299398939,1.89458678784027,0.70889220952212,-0.231215844239501
ZNF569,1.59188852993763,-0.550956973712085,-2.80443675047589,2.32332411428207,0.640195142329029,0.863715230093248
ZNF570,2.27206378851993,0.289118543070965,-2.33807943654555,2.35734653322855,-0.389344696852044,-0.56248730638046
CREB3L4,-3.85705988142533,1.92134014858463,2.00098301196322,-0.15903237264226,-3.02877107959196,2.78620790465932
CTBP1,-1.21161750345781,2.30733903499835,-0.749674437260305,1.62003698127484,-0.895938994725438,0.661586588288978
CTBP2,-4.87783084332508,3.83703134221977,4.41438175281783,-1.10397804663368,-5.28297766834305,1.87085993079819
GLIS1,2.0844237190259,1.26911074889207,-0.766704052771401,0.988235295670343,0.707502888668218,-1.57363602795904
RC3H1,0.359601032059162,1.79195178438903,-1.37083368682927,1.74563397113682,-3.14930990749283,-0.232826846130141
ZNF362,2.00810215449898,-1.69134680947268,-3.63542765972893,2.05416890017541,0.659927997783323,1.19614904043791
CTNNB1,0.644766210615838,0.802349125952915,1.32993653173573,-1.65501336719493,-0.100912403636718,-1.668279801737
TCF23,1.41868350348455,-0.021650957605996,-1.21260117271505,0.763345283933713,0.705698264324905,-0.608776036879694
ZSWIM2,0.204727791647206,0.717436582898135,-0.00517673354729515,0.969507119109271,-0.853238346965271,0.220050349062452
ZNF385B,2.03090036932586,-0.65917683772714,-2.59613833331223,1.09803059450535,2.00757093692097,-1.51258860335455
ZCWPW2,2.16992647970673,-1.82237638574903,-2.99407667050034,1.85071340199583,0.632049457017921,2.27020159297394
CUX1,-1.38419069144836,2.46511477115356,1.12228473433773,0.329564444485854,-1.99291963777288,-1.83306795244741
ZNF827,-0.439280339255983,3.0215637141991,0.142457288840365,1.83473999361387,-1.57528309875221,-0.571021290462868
NFXL1,-0.777578256271153,1.75688229445565,1.44657433417678,0.347715414003368,-1.26285170315258,0.112922151033326
ZNF595,-0.146838322061896,-0.896192491506688,-1.57840596600273,0.339139734336575,0.136523071436903,2.01104036806668
ZMAT2,-1.25491056201697,-0.89871146793269,2.81064773378497,-3.72044346002887,0.967655623794583,0.905406823359217
IRX2,1.84646894977812,0.773647282745076,-2.08120235354033,3.43023974813327,-1.01789998181668,1.20890033843275
ZNF425,-1.21281588185436,-0.140690678374943,-0.561924324013537,1.55201454830254,-1.1549180158114,2.0546361508759
